,Raw_ax,Raw_ay,Raw_az,Raw_gx,Raw_gy,Raw_gz,Ax,Ay,Az,Gx,Gy,Gz,Q0,Q1,Q2,Q3,ROLL,PITCH,YAW,Eu_Roll,Eu_Pitch,Eu_Yaw,Distance
733,-7776,1216,15928,-313,-132,-130,-3.796689,0.594003,7.777707,-0.139267,-0.161485,-0.160834,0.972288,0.032816,0.224062,0.001289,0.071627,0.450729,0.019131,4.103912,25.824856,1.096131,20
734,-7560,976,15788,-57,-64,-214,-3.691218,0.476814,7.709346,0.133445,-0.089046,-0.250318,0.972443,0.032084,0.223505,0.000843,0.06979,0.449635,0.017754,3.998675,25.762199,1.017221,19
735,-7508,816,15660,151,-75,-121,-3.665827,0.398688,7.646845,0.355023,-0.100764,-0.151246,0.972532,0.031455,0.223204,0.000404,0.068198,0.449062,0.016468,3.907441,25.729383,0.943551,19
736,-7636,1088,15784,156,-132,-114,-3.728328,0.531502,7.707393,0.360349,-0.161485,-0.143789,0.97241,0.03253,0.223575,0.000336,0.070507,0.449806,0.016885,4.039765,25.771967,0.967453,19
737,-7672,1144,15904,193,-40,-32,-3.745907,0.558846,7.765988,0.399765,-0.063479,-0.056436,0.972561,0.03349,0.222782,0.000348,0.072546,0.448168,0.017317,4.156593,25.678144,0.992166,19
738,-7760,1024,15844,107,-96,25,-3.788876,0.500252,7.73669,0.308151,-0.123135,0.004285,0.972462,0.033066,0.223272,9.3e-05,0.071531,0.449197,0.0166,4.098439,25.737064,0.951086,19
739,-7580,792,15636,-27,-274,80,-3.700984,0.386969,7.635126,0.165403,-0.312755,0.062875,0.972545,0.032271,0.223032,-0.000118,0.069695,0.448733,0.015728,3.993204,25.710503,0.901166,18
740,-7808,1248,15984,-45,-376,154,-3.812314,0.609628,7.805051,0.146228,-0.421413,0.141706,0.972496,0.033249,0.223098,0.000142,0.071942,0.448832,0.016781,4.121967,25.716192,0.961456,18
741,-7680,1008,15780,453,-458,185,-3.749813,0.492439,7.70544,0.676738,-0.508766,0.174729,0.972534,0.033051,0.222963,-7.4e-05,0.071398,0.448575,0.016204,4.090803,25.701479,0.928394,18
742,-7728,1076,15904,830,-787,231,-3.773251,0.525643,7.765988,1.078348,-0.859244,0.223732,0.972585,0.033385,0.222688,-0.00032,0.071986,0.448026,0.015814,4.124483,25.669985,0.906092,18
743,-7800,1328,15856,763,-1198,103,-3.808408,0.648692,7.74255,1.006975,-1.297074,0.087376,0.972685,0.035125,0.221981,-0.000352,0.07569,0.446554,0.016539,4.33674,25.585661,0.947587,18
744,-7604,1240,15688,760,-1600,155,-3.712703,0.605722,7.660517,1.003779,-1.725317,0.142771,0.972851,0.036713,0.220995,-0.000389,0.079047,0.444515,0.017144,4.529058,25.468805,0.982276,19
745,-7532,1160,15912,792,-2021,224,-3.677546,0.566659,7.769894,1.037868,-2.1738,0.216275,0.973439,0.036992,0.218352,-0.000644,0.079374,0.439131,0.016469,4.547772,25.160355,0.943613,19
746,-7524,1480,16072,448,-2281,203,-3.67364,0.722911,7.84802,0.671411,-2.450773,0.193905,0.973961,0.03863,0.215719,-0.000472,0.082829,0.433709,0.017361,4.745772,24.849716,0.994701,19
747,-7264,1396,16180,97,-2416,113,-3.546685,0.681895,7.900755,0.297498,-2.594586,0.098029,0.974692,0.039154,0.212302,-0.000459,0.083761,0.426728,0.017288,4.799172,24.449717,0.99051,19
748,-6968,1260,15920,56,-2430,28,-3.402152,0.615488,7.7738,0.253821,-2.6095,0.00748,0.975429,0.039174,0.208885,-0.000622,0.083531,0.419774,0.016598,4.785951,24.051304,0.951019,19
749,-7036,1556,16100,-197,-2522,-83,-3.435355,0.760021,7.861692,-0.015695,-2.707506,-0.110766,0.976086,0.039886,0.205654,-0.000648,0.084859,0.41318,0.016537,4.862045,23.673456,0.9475,21
750,-6864,1316,16036,-319,-2605,-267,-3.351369,0.642832,7.830442,-0.145659,-2.795924,-0.306777,0.976854,0.039459,0.202057,-0.00104,0.083577,0.405896,0.01515,4.788625,23.256138,0.86804,21
751,-6660,1264,16356,-62,-2480,-212,-3.251759,0.617441,7.986694,0.128118,-2.662764,-0.248187,0.977572,0.039291,0.198588,-0.001428,0.08287,0.398873,0.01391,4.7481,22.853752,0.796975,21
752,-6796,1088,16212,591,-2178,-81,-3.318166,0.531502,7.916381,0.823746,-2.341049,-0.108635,0.978079,0.039126,0.196102,-0.001974,0.082162,0.393866,0.01244,4.707524,22.566887,0.712757,21
753,-6872,1656,16220,753,-2345,38,-3.355276,0.80885,7.920287,0.996322,-2.518951,0.018133,0.978438,0.041023,0.193903,-0.002075,0.086035,0.389379,0.012811,4.929452,22.309757,0.733996,21
754,-6580,1580,16280,348,-2519,-124,-3.212696,0.77174,7.949584,0.564883,-2.70431,-0.154442,0.979009,0.042339,0.190714,-0.002266,0.088584,0.382902,0.012631,5.075483,21.938656,0.723726,21
755,-6384,1568,16520,-222,-2330,-274,-3.116991,0.765881,8.066773,-0.042327,-2.502972,-0.314234,0.979639,0.042561,0.187401,-0.00257,0.088765,0.376201,0.011741,5.085872,21.554749,0.672716,21
756,-6272,1256,16568,-634,-2108,-189,-3.062303,0.613535,8.090211,-0.481222,-2.266479,-0.223686,0.980243,0.041474,0.184456,-0.002872,0.086214,0.370265,0.010375,4.939722,21.214622,0.594433,21
757,-6480,1208,16304,-774,-2138,-47,-3.163867,0.590097,7.961303,-0.630362,-2.298438,-0.072416,0.98063,0.04,0.182707,-0.003101,0.082943,0.366751,0.009146,4.752273,21.013288,0.524005,21
758,-6272,1196,16420,-213,-2233,16,-3.062303,0.584237,8.017945,-0.032739,-2.39964,-0.005303,0.981158,0.039039,0.180064,-0.003356,0.080714,0.361421,0.007992,4.624557,20.707895,0.457884,21
759,-6124,1144,16472,916,-2179,-25,-2.990036,0.558846,8.043336,1.169963,-2.342114,-0.048979,0.981653,0.039359,0.177265,-0.003836,0.081094,0.355785,0.006854,4.646351,20.384987,0.392693,22
760,-6064,1732,16280,1031,-2505,78,-2.960739,0.84596,7.949584,1.29247,-2.689396,0.060744,0.98204,0.041607,0.174581,-0.003933,0.085668,0.350342,0.007245,4.90842,20.073101,0.415123,22
761,-6056,1972,16696,-125,-3018,-40,-2.956832,0.963149,8.152712,0.061005,-3.235885,-0.064959,0.98258,0.042614,0.171269,-0.003963,0.087635,0.343632,0.007233,5.021121,19.688644,0.414445,22
762,-5752,2220,16372,-1862,-3524,-410,-2.808392,1.084245,7.994507,-1.789387,-3.774917,-0.459113,0.983281,0.041731,0.167414,-0.004092,0.085595,0.335851,0.006277,4.904228,19.242828,0.35964,22
763,-5840,1324,16628,-1917,-3978,-596,-2.851362,0.646738,8.119509,-1.847978,-4.258554,-0.657255,0.984075,0.038811,0.163388,-0.004778,0.079131,0.327781,0.003463,4.533866,18.780443,0.19841,22
764,-5332,788,16776,-974,-4345,-559,-2.603311,0.385016,8.191775,-0.843418,-4.649512,-0.617839,0.984969,0.037064,0.158302,-0.00554,0.075095,0.317567,0.000864,4.302636,18.195265,0.049499,21
765,-5308,2004,16708,-2032,-4736,-829,-2.591592,0.978775,8.158572,-1.970485,-5.066037,-0.905465,0.985831,0.035902,0.153095,-0.006145,0.072364,0.307097,-0.001179,4.146144,17.595348,-0.067537,21
766,-5112,960,17132,-3714,-4967,-1544,-2.495888,0.469001,8.365606,-3.762287,-5.312117,-1.667141,0.986874,0.031274,0.147222,-0.007476,0.062271,0.295321,-0.005799,3.567839,16.92065,-0.332285,21
767,-4792,824,17156,-3007,-5144,-1848,-2.339635,0.402594,8.377325,-3.009134,-5.500672,-1.990986,0.987873,0.027487,0.141053,-0.009217,0.053883,0.282951,-0.010891,3.087272,16.211916,-0.624017,21
768,-4288,1032,16412,-1125,-5353,-1719,-2.093538,0.504158,8.014038,-1.004275,-5.723315,-1.853565,0.988791,0.026462,0.134539,-0.010999,0.051255,0.269908,-0.015184,2.936707,15.464606,-0.869989,21
769,-4676,-152,17000,-1941,-5203,-1558,-2.282994,-0.073976,8.301152,-1.873544,-5.563523,-1.682055,0.989575,0.023333,0.129085,-0.012692,0.044402,0.258955,-0.019758,2.544039,14.837012,-1.132052,24
770,-3708,344,18056,-2542,-3899,-956,-1.81033,0.168215,8.816785,-2.513778,-4.174397,-1.040756,0.990266,0.020264,0.124131,-0.013527,0.037959,0.248957,-0.022456,2.174862,14.264188,-1.286659,24
771,-3900,-352,17588,-1047,-2932,-327,-1.904082,-0.171633,8.588266,-0.921183,-3.144271,-0.370694,0.990735,0.018395,0.120579,-0.013944,0.034089,0.241785,-0.023893,1.953152,13.853249,-1.368943,24
772,-3764,764,17540,-113,-2737,154,-1.837675,0.373297,8.564828,0.073789,-2.936541,0.141706,0.991192,0.018716,0.116734,-0.013817,0.034836,0.234059,-0.023672,1.995954,13.410606,-1.356292,24
773,-3864,336,17296,-509,-2322,160,-1.886503,0.164309,8.445686,-0.348062,-2.49445,0.148097,0.991577,0.017641,0.113596,-0.013749,0.032715,0.227726,-0.023879,1.87444,13.047716,-1.368194,24
774,-3688,520,17496,529,-2731,536,-1.800565,0.254154,8.543343,0.757699,-2.930149,0.548643,0.992008,0.018267,0.109713,-0.013344,0.034145,0.219928,-0.023025,1.956356,12.600934,-1.319262,27
775,-3348,760,17400,-88,-2337,609,-1.634546,0.371344,8.496468,0.100421,-2.510429,0.626408,0.992383,0.018682,0.106276,-0.012733,0.035178,0.213015,-0.021796,2.015553,12.204858,-1.248837,27
776,-3560,408,17568,88,-2016,487,-1.738064,0.199466,8.5785,0.28791,-2.168474,0.496444,0.992699,0.018337,0.103385,-0.012369,0.034598,0.207192,-0.021222,1.982326,11.871241,-1.215937,27
777,-3332,720,17268,73,-2234,479,-1.626734,0.351812,8.432013,0.271931,-2.400705,0.487922,0.993031,0.018995,0.100081,-0.011902,0.036076,0.200561,-0.020245,2.06702,11.491321,-1.159967,27
778,-3500,692,17548,-122,-2405,425,-1.708766,0.33814,8.568734,0.064201,-2.582868,0.430397,0.993352,0.019702,0.09675,-0.011453,0.037643,0.193877,-0.019305,2.156804,11.10835,-1.106115,27
779,-3212,612,17504,-47,-2575,477,-1.568139,0.299077,8.54725,0.144097,-2.763966,0.485791,0.993712,0.019654,0.093039,-0.011041,0.03767,0.18642,-0.018611,2.15832,10.681092,-1.066313,26
780,-3040,560,17572,10,-2433,327,-1.484154,0.273686,8.580453,0.204818,-2.612696,0.325999,0.994041,0.019509,0.089519,-0.010803,0.037463,0.179353,-0.01828,2.14648,10.276188,-1.047351,26
781,-2968,732,17512,-87,-2278,-50,-1.448997,0.357671,8.551156,0.101486,-2.447577,-0.075611,0.994329,0.019908,0.086161,-0.010888,0.038295,0.172635,-0.018498,2.194161,9.89124,-1.059883,26
782,-3100,744,17348,-369,-2432,-183,-1.513451,0.363531,8.471077,-0.198923,-2.61163,-0.217294,0.994482,0.020406,0.084217,-0.011086,0.03929,0.168757,-0.018884,2.251137,9.669056,-1.081964,26
783,-3120,664,17532,-707,-3399,-280,-1.523217,0.324468,8.560922,-0.558988,-3.641757,-0.320626,0.994714,0.019604,0.081575,-0.011467,0.037643,0.163465,-0.019881,2.156806,9.365841,-1.139076,26
784,-2632,396,17760,-579,-3936,-347,-1.284932,0.193606,8.672251,-0.422632,-4.213813,-0.392,0.995122,0.018428,0.076677,-0.011947,0.035269,0.153649,-0.021203,2.020759,8.803456,-1.21483,23
785,-2172,412,17856,-241,-3520,-263,-1.060319,0.201419,8.719127,-0.062567,-3.770656,-0.302516,0.995474,0.017947,0.072009,-0.012323,0.034322,0.144309,-0.022183,1.966505,8.268279,-1.270999,23
786,-2228,616,17744,-133,-2872,58,-1.087663,0.30103,8.664439,0.052483,-3.080354,0.039439,0.995759,0.017975,0.067954,-0.012325,0.034449,0.136196,-0.022312,1.973787,7.803473,-1.278382,23
787,-2208,848,17896,-492,-2904,-125,-1.077897,0.414313,8.738659,-0.329953,-3.114443,-0.155508,0.996005,0.018272,0.06413,-0.012455,0.035098,0.128556,-0.022656,2.010972,7.365736,-1.298091,23
788,-2124,520,17792,-581,-3163,-393,-1.036881,0.254154,8.687877,-0.424763,-3.390351,-0.441003,0.996279,0.017266,0.05992,-0.012947,0.033097,0.120129,-0.023903,1.896314,6.88288,-1.369566,27
789,-2200,512,17580,-400,-3575,-359,-1.073991,0.250248,8.58436,-0.231947,-3.829246,-0.404783,0.996468,0.016297,0.056855,-0.013455,0.031156,0.113994,-0.025127,1.785127,6.531368,-1.439691,27
790,-1652,416,17832,-275,-3662,-183,-0.806409,0.203372,8.707408,-0.098787,-3.921926,-0.217294,0.996737,0.015788,0.052022,-0.013735,0.030213,0.104328,-0.025881,1.73106,5.977567,-1.482876,27
791,-1448,564,17872,-448,-3304,-151,-0.706798,0.275639,8.72694,-0.28308,-3.540555,-0.183205,0.996964,0.015492,0.047508,-0.013941,0.029705,0.095304,-0.026449,1.701984,5.460531,-1.515401,27
792,-1492,528,17816,-454,-3150,-247,-0.728283,0.258061,8.699596,-0.289472,-3.376502,-0.285472,0.997163,0.015126,0.043157,-0.01425,0.02905,0.086608,-0.027219,1.664421,4.962286,-1.559554,27
793,-1144,452,17900,-343,-2925,-181,-0.558358,0.220951,8.740612,-0.171226,-3.136814,-0.215163,0.997334,0.014727,0.039056,-0.014498,0.028333,0.07841,-0.027858,1.623375,4.492569,-1.596128,34
794,-1060,256,18016,-139,-2571,-9,-0.517342,0.125246,8.797253,0.046091,-2.759704,-0.031935,0.997474,0.014142,0.035502,-0.014584,0.027249,0.071297,-0.028166,1.56127,4.085003,-1.613772,34
795,-1056,464,17720,25,-2282,153,-0.515389,0.22681,8.65272,0.220798,-2.451838,0.14064,0.997591,0.01423,0.03206,-0.014476,0.027525,0.064423,-0.028032,1.577044,3.691138,-1.606124,34
796,-884,584,17880,-179,-2010,86,-0.431403,0.285405,8.730846,0.00348,-2.162082,0.069267,0.997683,0.014514,0.028954,-0.014415,0.028177,0.058225,-0.027974,1.614446,3.336061,-1.602764,34
797,-916,512,17864,-276,-1895,10,-0.447028,0.250248,8.723033,-0.099852,-2.039575,-0.011695,0.997767,0.014442,0.025924,-0.014437,0.028113,0.052174,-0.028104,1.61074,2.989331,-1.610213,34
798,-948,472,17736,-230,-2204,-62,-0.462654,0.230716,8.660533,-0.050849,-2.368746,-0.088395,0.99782,0.013583,0.024196,-0.014588,0.026435,0.048701,-0.028492,1.514638,2.790366,-1.632467,38
