,,,YAW,PITCH,ROLL
1529,51:07.0,ypr,160.59,141.01,168.82
1531,51:07.1,ypr,160.96,141.46,169.02
1533,51:07.1,ypr,161.32,141.92,169.23
1535,51:07.1,ypr,161.68,142.37,169.41
1537,51:07.1,ypr,162.02,142.83,169.57
1539,51:07.1,ypr,162.37,143.28,169.7
1541,51:07.1,ypr,162.7,143.71,169.78
1543,51:07.1,ypr,163.04,144.18,169.85
1545,51:07.1,ypr,163.33,144.63,169.92
1547,51:07.1,ypr,163.58,145.07,169.97
1549,51:07.1,ypr,163.83,145.51,170.01
1551,51:07.2,ypr,164.09,145.98,170.03
1553,51:07.2,ypr,164.34,146.47,170.06
1555,51:07.2,ypr,164.57,146.95,170.09
1557,51:07.2,ypr,164.76,147.43,170.13
1559,51:07.2,ypr,164.92,147.9,170.21
1561,51:07.2,ypr,165.08,148.39,170.24
1563,51:07.2,ypr,165.22,148.9,170.23
1565,51:07.2,ypr,165.38,149.42,170.2
1567,51:07.2,ypr,165.54,149.93,170.15
1569,51:07.2,ypr,165.71,150.45,170.08
1571,51:07.3,ypr,165.9,150.98,170.05
1573,51:07.3,ypr,166.09,151.52,169.98
1575,51:07.3,ypr,166.27,152.07,169.91
1577,51:07.3,ypr,166.41,152.61,169.83
1579,51:07.3,ypr,166.55,153.15,169.76
1581,51:07.3,ypr,166.66,153.69,169.72
1583,51:07.3,ypr,166.71,154.21,169.67
1585,51:07.3,ypr,166.75,154.71,169.6
1587,51:07.3,ypr,166.76,155.2,169.51
1589,51:07.3,ypr,166.78,155.66,169.37
1591,51:07.4,ypr,166.82,156.1,169.2
1593,51:07.4,ypr,166.89,156.54,169
1595,51:07.4,ypr,166.99,156.97,168.81
1597,51:07.4,ypr,167.11,157.4,168.6
1599,51:07.4,ypr,167.23,157.81,168.39
1601,51:07.4,ypr,167.33,158.2,168.17
1603,51:07.4,ypr,167.42,158.57,167.94
1605,51:07.4,ypr,167.51,158.9,167.69
1607,51:07.4,ypr,167.6,159.22,167.43
1609,51:07.4,ypr,167.69,159.53,167.16
1611,51:07.5,ypr,167.77,159.83,166.87
1613,51:07.5,ypr,167.84,160.15,166.59
1615,51:07.5,ypr,167.89,160.45,166.31
1617,51:07.5,ypr,167.93,160.73,166.04
1619,51:07.5,ypr,167.96,161,165.77
1621,51:07.5,ypr,167.98,161.27,165.5
1623,51:07.5,ypr,167.99,161.55,165.21
1625,51:07.5,ypr,168,161.82,164.94
1627,51:07.5,ypr,168.01,162.07,164.67
1629,51:07.5,ypr,168.01,162.29,164.4
1631,51:07.6,ypr,168.03,162.5,164.13
1633,51:07.6,ypr,168.05,162.7,163.86
1635,51:07.6,ypr,168.07,162.89,163.58
1637,51:07.6,ypr,168.08,163.07,163.3
1639,51:07.6,ypr,168.1,163.27,163.02
1641,51:07.6,ypr,168.13,163.46,162.75
1643,51:07.6,ypr,168.15,163.63,162.47
1645,51:07.6,ypr,168.15,163.78,162.18
1647,51:07.6,ypr,168.16,163.93,161.9
1649,51:07.7,ypr,168.18,164.08,161.6
1651,51:07.7,ypr,168.21,164.23,161.31
1653,51:07.7,ypr,168.22,164.36,161.02
1655,51:07.7,ypr,168.21,164.48,160.74
1657,51:07.7,ypr,168.17,164.58,160.48
1659,51:07.7,ypr,168.1,164.67,160.21
1661,51:07.7,ypr,168,164.72,159.93
1663,51:07.7,ypr,167.89,164.76,159.65
1665,51:07.7,ypr,167.82,164.82,159.33
1667,51:07.7,ypr,167.72,164.84,159.01
1669,51:07.7,ypr,167.63,164.83,158.66
1671,51:07.8,ypr,167.54,164.79,158.33
1673,51:07.8,ypr,167.45,164.75,158
1675,51:07.8,ypr,167.33,164.67,157.69
1677,51:07.8,ypr,167.19,164.56,157.38
1679,51:07.8,ypr,167.03,164.46,157.1
1681,51:07.8,ypr,166.86,164.31,156.82
1683,51:07.8,ypr,166.67,164.16,156.55
1685,51:07.8,ypr,166.48,163.97,156.26
1687,51:07.8,ypr,166.31,163.77,155.96
1689,51:07.8,ypr,166.16,163.55,155.65
1691,51:07.9,ypr,166.01,163.33,155.37
1693,51:07.9,ypr,165.87,163.11,155.12
1695,51:07.9,ypr,165.73,162.92,154.86
1697,51:07.9,ypr,165.56,162.7,154.62
1699,51:07.9,ypr,165.36,162.46,154.42
1701,51:07.9,ypr,165.14,162.22,154.23
1703,51:07.9,ypr,164.91,161.95,154.03
1705,51:07.9,ypr,164.7,161.7,153.82
1707,51:07.9,ypr,164.52,161.45,153.58
1709,51:07.9,ypr,164.36,161.22,153.38
1711,51:08.0,ypr,164.21,161.02,153.2
1713,51:08.0,ypr,164.06,160.8,153.08
1715,51:08.0,ypr,163.92,160.58,153
1717,51:08.0,ypr,163.82,160.39,152.97
1719,51:08.0,ypr,163.73,160.22,152.98
1721,51:08.0,ypr,163.66,160.06,153
1723,51:08.0,ypr,163.59,159.89,153.02
1725,51:08.0,ypr,163.54,159.68,152.98
1727,51:08.0,ypr,163.47,159.45,152.92
1729,51:08.0,ypr,163.41,159.18,152.83
1731,51:08.1,ypr,163.34,158.84,152.71
1733,51:08.1,ypr,163.25,158.47,152.57
1735,51:08.1,ypr,163.16,158.09,152.41
1737,51:08.1,ypr,163.06,157.71,152.2
1739,51:08.1,ypr,162.93,157.28,152.06
1741,51:08.1,ypr,162.81,156.85,151.93
1743,51:08.1,ypr,162.72,156.43,151.78
1745,51:08.1,ypr,162.67,156.01,151.57
1747,51:08.1,ypr,162.67,155.58,151.34
1749,51:08.1,ypr,162.71,155.21,151.03
1751,51:08.2,ypr,162.79,154.8,150.65
1753,51:08.2,ypr,162.91,154.39,150.27
1755,51:08.2,ypr,163.07,153.95,149.85
1757,51:08.2,ypr,163.3,153.6,149.38
1759,51:08.2,ypr,163.56,153.33,148.97
1761,51:08.2,ypr,163.84,153.14,148.65
1763,51:08.2,ypr,164.08,153,148.45
1765,51:08.2,ypr,164.3,152.94,148.39
1767,51:08.2,ypr,164.45,152.94,148.46
1769,51:08.2,ypr,164.53,152.95,148.63
1771,51:08.3,ypr,164.53,152.95,148.82
1773,51:08.3,ypr,164.46,152.89,149.01
1775,51:08.3,ypr,164.35,152.77,149.12
1777,51:08.3,ypr,164.22,152.58,149.17
1779,51:08.3,ypr,164.07,152.36,149.16
1781,51:08.3,ypr,163.94,152.17,149.09
1783,51:08.3,ypr,163.86,152.03,149.03
1785,51:08.3,ypr,163.81,151.88,149.08
1787,51:08.3,ypr,163.81,151.84,149.2
1789,51:08.3,ypr,163.83,151.83,149.44
1791,51:08.4,ypr,163.84,151.74,149.78
1793,51:08.4,ypr,163.87,151.58,150.16
1795,51:08.4,ypr,163.88,151.28,150.55
1797,51:08.4,ypr,163.88,150.86,150.81
1799,51:08.4,ypr,163.94,150.42,150.96
1801,51:08.4,ypr,164.07,150.12,151.04
1803,51:08.4,ypr,164.24,149.91,151.04
1805,51:08.4,ypr,164.41,149.69,151.16
1807,51:08.4,ypr,164.6,149.56,151.4
1809,51:08.4,ypr,164.76,149.45,151.78
1811,51:08.5,ypr,164.83,149.23,152.29
1813,51:08.5,ypr,164.86,148.96,152.85
1815,51:08.5,ypr,164.89,148.72,153.41
1817,51:08.5,ypr,164.95,148.51,153.9
1819,51:08.5,ypr,165.03,148.29,154.33
1821,51:08.5,ypr,165.16,148.05,154.72
1823,51:08.5,ypr,165.37,147.8,155.05
1825,51:08.5,ypr,165.62,147.53,155.32
1827,51:08.5,ypr,165.89,147.22,155.58
1829,51:08.5,ypr,166.2,146.9,155.84
1831,51:08.6,ypr,166.53,146.61,156.14
1833,51:08.6,ypr,166.87,146.3,156.51
1835,51:08.6,ypr,167.26,146.09,156.94
1837,51:08.6,ypr,167.69,146.02,157.43
1839,51:08.6,ypr,168.07,145.98,157.95
1841,51:08.6,ypr,168.42,145.96,158.54
1843,51:08.6,ypr,168.72,145.95,159.16
1845,51:08.6,ypr,169.06,145.95,159.78
1847,51:08.6,ypr,169.32,145.88,160.39
1849,51:08.6,ypr,169.54,145.7,160.97
1851,51:08.7,ypr,169.77,145.47,161.48
1853,51:08.7,ypr,170.04,145.2,161.9
1855,51:08.7,ypr,170.37,144.98,162.24
1857,51:08.7,ypr,170.77,144.83,162.55
1859,51:08.7,ypr,171.18,144.69,162.88
1861,51:08.7,ypr,171.59,144.58,163.27
1863,51:08.7,ypr,172.01,144.5,163.69
1865,51:08.7,ypr,172.42,144.45,164.15
1867,51:08.7,ypr,172.83,144.45,164.64
1869,51:08.7,ypr,173.23,144.48,165.12
1871,51:08.8,ypr,173.65,144.54,165.61
1873,51:08.8,ypr,174.09,144.64,166.09
1875,51:08.8,ypr,174.56,144.75,166.59
1877,51:08.8,ypr,175.06,144.89,167.07
1879,51:08.8,ypr,175.58,145.05,167.54
1881,51:08.8,ypr,176.12,145.2,168.02
1883,51:08.8,ypr,176.68,145.37,168.49
1885,51:08.8,ypr,177.25,145.58,168.97
1887,51:08.8,ypr,177.81,145.81,169.45
1889,51:08.8,ypr,178.37,146.06,169.94
1891,51:08.9,ypr,178.93,146.31,170.4
1893,51:08.9,ypr,179.47,146.58,170.84
1895,51:08.9,ypr,-179.99,146.86,171.26
1897,51:08.9,ypr,-179.47,147.13,171.67
1899,51:08.9,ypr,-178.98,147.41,172.08
1901,51:08.9,ypr,-178.52,147.68,172.46
1903,51:08.9,ypr,-178.07,147.96,172.83
1905,51:08.9,ypr,-177.64,148.25,173.18
1907,51:08.9,ypr,-177.23,148.53,173.53
1909,51:08.9,ypr,-176.85,148.83,173.86
1911,51:09.0,ypr,-176.48,149.13,174.17
1913,51:09.0,ypr,-176.11,149.44,174.46
1915,51:09.0,ypr,-175.74,149.77,174.75
1917,51:09.0,ypr,-175.38,150.08,175.02
1919,51:09.0,ypr,-175.02,150.41,175.3
1921,51:09.0,ypr,-174.69,150.76,175.57
1923,51:09.0,ypr,-174.39,151.11,175.82
1925,51:09.0,ypr,-174.1,151.45,176.06
1927,51:09.0,ypr,-173.83,151.81,176.28
1929,51:09.0,ypr,-173.56,152.19,176.49
1931,51:09.1,ypr,-173.32,152.56,176.68
1933,51:09.1,ypr,-173.09,152.92,176.89
1935,51:09.1,ypr,-172.87,153.26,177.1
1937,51:09.1,ypr,-172.69,153.57,177.31
1939,51:09.1,ypr,-172.56,153.85,177.52
1941,51:09.1,ypr,-172.45,154.13,177.72
1943,51:09.1,ypr,-172.38,154.4,177.94
1945,51:09.1,ypr,-172.3,154.66,178.15
1947,51:09.1,ypr,-172.21,154.93,178.34
1949,51:09.1,ypr,-172.08,155.22,178.48
1951,51:09.2,ypr,-171.94,155.53,178.55
1953,51:09.2,ypr,-171.81,155.89,178.56
1955,51:09.2,ypr,-171.65,156.27,178.56
1957,51:09.2,ypr,-171.49,156.67,178.54
1959,51:09.2,ypr,-171.33,157.03,178.52
1961,51:09.2,ypr,-171.16,157.37,178.51
1963,51:09.2,ypr,-170.95,157.74,178.46
1965,51:09.2,ypr,-170.75,158.11,178.41
1967,51:09.2,ypr,-170.57,158.48,178.35
1969,51:09.2,ypr,-170.44,158.86,178.3
1971,51:09.3,ypr,-170.33,159.27,178.24
1973,51:09.3,ypr,-170.26,159.69,178.17
1975,51:09.3,ypr,-170.21,160.1,178.07
1977,51:09.3,ypr,-170.17,160.51,177.96
1979,51:09.3,ypr,-170.13,160.94,177.87
1981,51:09.3,ypr,-170.11,161.37,177.74
1983,51:09.3,ypr,-170.09,161.86,177.65
1985,51:09.3,ypr,-170.07,162.39,177.56
1987,51:09.3,ypr,-170.06,162.88,177.46
1989,51:09.3,ypr,-170.08,163.29,177.35
1991,51:09.4,ypr,-170.1,163.64,177.21
1993,51:09.4,ypr,-170.08,163.98,177.04
1995,51:09.4,ypr,-170.02,164.36,176.87
1997,51:09.4,ypr,-169.93,164.77,176.7
1999,51:09.4,ypr,-169.82,165.18,176.53
2001,51:09.4,ypr,-169.69,165.61,176.36
2003,51:09.4,ypr,-169.58,166.06,176.2
2005,51:09.4,ypr,-169.5,166.51,176.05
2007,51:09.4,ypr,-169.45,166.97,175.9
2009,51:09.4,ypr,-169.46,167.41,175.75
2011,51:09.5,ypr,-169.54,167.81,175.58
2013,51:09.5,ypr,-169.68,168.2,175.39
2015,51:09.5,ypr,-169.86,168.6,175.19
2017,51:09.5,ypr,-170.06,169.01,174.98
2019,51:09.5,ypr,-170.27,169.43,174.75
2021,51:09.5,ypr,-170.49,169.85,174.52
2023,51:09.5,ypr,-170.72,170.22,174.28
2025,51:09.5,ypr,-170.94,170.53,174.04
2027,51:09.5,ypr,-171.15,170.79,173.77
2029,51:09.6,ypr,-171.34,171,173.5
2031,51:09.6,ypr,-171.52,171.2,173.21
2033,51:09.6,ypr,-171.68,171.4,172.9
2035,51:09.6,ypr,-171.83,171.61,172.59
2037,51:09.6,ypr,-172,171.78,172.25
2039,51:09.6,ypr,-172.2,171.94,171.9
2041,51:09.6,ypr,-172.41,172.07,171.55
2043,51:09.6,ypr,-172.65,172.17,171.22
2045,51:09.6,ypr,-172.9,172.21,170.9
2047,51:09.6,ypr,-173.17,172.18,170.56
2049,51:09.7,ypr,-173.42,172.09,170.19
2051,51:09.7,ypr,-173.66,171.9,169.8
2053,51:09.7,ypr,-173.86,171.65,169.39
2055,51:09.7,ypr,-174.05,171.31,168.94
2057,51:09.7,ypr,-174.22,170.89,168.47
2059,51:09.7,ypr,-174.39,170.44,167.99
2061,51:09.7,ypr,-174.54,169.99,167.5
2063,51:09.7,ypr,-174.67,169.57,167.03
2065,51:09.7,ypr,-174.78,169.18,166.57
2067,51:09.7,ypr,-174.88,168.81,166.12
2069,51:09.7,ypr,-174.94,168.53,165.72
2071,51:09.8,ypr,-174.97,168.33,165.34
2073,51:09.8,ypr,-174.98,168.16,164.99
2075,51:09.8,ypr,-174.96,168.05,164.67
2077,51:09.8,ypr,-174.91,167.98,164.36
2079,51:09.8,ypr,-174.84,167.94,164.05
2081,51:09.8,ypr,-174.75,167.92,163.74
2083,51:09.8,ypr,-174.67,167.86,163.4
2085,51:09.8,ypr,-174.62,167.76,163.08
2087,51:09.8,ypr,-174.59,167.66,162.77
2089,51:09.8,ypr,-174.58,167.53,162.47
2091,51:09.9,ypr,-174.58,167.45,162.21
2093,51:09.9,ypr,-174.59,167.39,162
2095,51:09.9,ypr,-174.64,167.32,161.83
2097,51:09.9,ypr,-174.71,167.3,161.66
2099,51:09.9,ypr,-174.81,167.28,161.53
2101,51:09.9,ypr,-174.93,167.24,161.39
2103,51:09.9,ypr,-175.09,167.18,161.2
2105,51:09.9,ypr,-175.3,167.08,160.98
2107,51:09.9,ypr,-175.53,166.97,160.75
2109,51:09.9,ypr,-175.71,166.8,160.5
2111,51:10.0,ypr,-175.83,166.56,160.28
2113,51:10.0,ypr,-175.88,166.34,160.06
2115,51:10.0,ypr,-175.88,166.12,159.86
2117,51:10.0,ypr,-175.87,165.88,159.58
2119,51:10.0,ypr,-175.85,165.6,159.22
2121,51:10.0,ypr,-175.85,165.24,158.73
2123,51:10.0,ypr,-175.9,164.75,158.22
2125,51:10.0,ypr,-176,164.14,157.74
2127,51:10.0,ypr,-176.16,163.5,157.31
2129,51:10.0,ypr,-176.35,162.9,156.98
2131,51:10.1,ypr,-176.58,162.41,156.7
2133,51:10.1,ypr,-176.89,162.04,156.45
2135,51:10.1,ypr,-177.27,161.7,156.23
2137,51:10.1,ypr,-177.7,161.34,156.05
2139,51:10.1,ypr,-178.11,161,155.91
2141,51:10.1,ypr,-178.48,160.58,155.74
2143,51:10.1,ypr,-178.78,160.08,155.56
2145,51:10.1,ypr,-179.01,159.54,155.33
2147,51:10.1,ypr,-179.13,158.95,155.03
2149,51:10.1,ypr,-179.13,158.34,154.69
2151,51:10.2,ypr,-178.97,157.77,154.32
2153,51:10.2,ypr,-178.7,157.25,153.94
2155,51:10.2,ypr,-178.36,156.79,153.6
2157,51:10.2,ypr,-178.01,156.39,153.33
2159,51:10.2,ypr,-177.67,156.03,153.14
2161,51:10.2,ypr,-177.41,155.7,153.05
2163,51:10.2,ypr,-177.24,155.38,153.04
2165,51:10.2,ypr,-177.2,155.02,153.1
2167,51:10.2,ypr,-177.22,154.66,153.2
2169,51:10.2,ypr,-177.32,154.28,153.31
2171,51:10.3,ypr,-177.43,153.85,153.46
2173,51:10.3,ypr,-177.49,153.51,153.69
2175,51:10.3,ypr,-177.49,153.22,153.99
2177,51:10.3,ypr,-177.43,152.96,154.35
2179,51:10.3,ypr,-177.29,152.76,154.79
2181,51:10.3,ypr,-177.07,152.63,155.31
2183,51:10.3,ypr,-176.81,152.55,155.87
2185,51:10.3,ypr,-176.52,152.49,156.45
2187,51:10.3,ypr,-176.22,152.43,157.04
2189,51:10.3,ypr,-175.89,152.35,157.59
2191,51:10.4,ypr,-175.56,152.24,158.09
2193,51:10.4,ypr,-175.18,152.13,158.54
2195,51:10.4,ypr,-174.74,151.99,159.02
2197,51:10.4,ypr,-174.21,151.9,159.51
2199,51:10.4,ypr,-173.56,151.87,160.05
2201,51:10.4,ypr,-172.77,152.01,160.61
2203,51:10.4,ypr,-171.85,152.32,161.12
2205,51:10.4,ypr,-170.91,152.59,161.65
2207,51:10.4,ypr,-170.04,152.75,162.11
2209,51:10.5,ypr,-169.21,153.01,162.77
2211,51:10.5,ypr,-168.45,153.43,163.62
2213,51:10.5,ypr,-167.81,153.83,164.31
2215,51:10.5,ypr,-167.4,154.27,164.98
2217,51:10.5,ypr,-167.07,154.71,165.62
2219,51:10.5,ypr,-166.86,155.21,166.43
2221,51:10.5,ypr,-166.65,155.6,167.25
2223,51:10.5,ypr,-166.49,155.91,168.09
2225,51:10.5,ypr,-166.34,156.13,168.96
2227,51:10.5,ypr,-166.2,156.24,169.82
2229,51:10.5,ypr,-166.02,156.26,170.66
2231,51:10.6,ypr,-165.85,156.26,171.46
2233,51:10.6,ypr,-165.62,156.16,172.21
2235,51:10.6,ypr,-165.4,156.01,172.92
2237,51:10.6,ypr,-165.15,155.83,173.58
2239,51:10.6,ypr,-164.88,155.64,174.16
2241,51:10.6,ypr,-164.6,155.41,174.7
2243,51:10.6,ypr,-164.33,155.19,175.24
2245,51:10.6,ypr,-164.03,154.96,175.76
2247,51:10.6,ypr,-163.74,154.72,176.27
2249,51:10.6,ypr,-163.41,154.46,176.82
2251,51:10.7,ypr,-163.08,154.23,177.41
2253,51:10.7,ypr,-162.73,154.02,178.02
2255,51:10.7,ypr,-162.39,153.84,178.61
2257,51:10.7,ypr,-162.04,153.7,179.15
2259,51:10.7,ypr,-161.68,153.59,179.69
2261,51:10.7,ypr,-161.33,153.54,-179.77
2263,51:10.7,ypr,-160.97,153.49,-179.25
2265,51:10.7,ypr,-160.58,153.38,-178.75
2267,51:10.7,ypr,-160.2,153.28,-178.25
2269,51:10.7,ypr,-159.82,153.24,-177.78