TimeStamp,ADC_One,Angle_One,ADC_Two,Angle_Two,ADC_Three,Angle_Three,ADC_Four,Angle_Four
41:43.5,401,51,834,-109,424,51,401,51
41:43.5,,,,,,,,
41:44.0,402,51,834,-109,423,52,402,50
41:44.0,,,,,,,,
41:44.5,402,51,833,-109,424,51,400,52
41:44.5,,,,,,,,
41:45.0,402,51,835,-110,424,51,402,50
41:45.0,,,,,,,,
41:45.5,402,51,829,-108,424,51,402,50
41:45.5,,,,,,,,
41:46.0,402,51,829,-108,424,51,402,50
41:46.0,,,,,,,,
41:46.5,402,51,829,-108,424,51,402,50
41:46.5,,,,,,,,
41:47.0,402,51,828,-108,424,51,402,50
41:47.0,,,,,,,,
41:47.5,403,50,828,-108,424,51,403,50
41:47.5,,,,,,,,
41:48.0,403,50,828,-108,424,51,403,50
41:48.0,,,,,,,,
41:48.5,403,50,827,-108,424,51,403,50
41:48.6,,,,,,,,
41:49.0,403,50,827,-108,424,51,403,50
41:49.1,,,,,,,,
41:49.5,403,50,828,-108,424,51,403,50
41:49.6,,,,,,,,
41:50.0,403,50,821,-107,424,51,403,50
41:50.1,,,,,,,,
41:50.5,403,50,828,-108,424,51,404,49
41:50.6,,,,,,,,
41:51.0,403,50,828,-108,424,51,403,50
41:51.1,,,,,,,,
41:51.5,403,50,828,-108,424,51,403,50
41:51.6,,,,,,,,
41:52.0,403,50,828,-108,424,51,403,50
41:52.1,,,,,,,,
41:52.5,403,50,828,-108,424,51,404,49
41:52.6,,,,,,,,
41:53.0,404,50,829,-108,424,51,404,49
41:53.1,,,,,,,,
41:53.5,404,50,829,-108,425,50,404,49
41:53.6,,,,,,,,
41:54.0,404,50,828,-108,424,51,404,49
41:54.1,,,,,,,,
41:54.5,404,50,829,-108,424,51,404,49
41:54.6,,,,,,,,
41:55.0,405,49,828,-108,425,50,404,49
41:55.1,,,,,,,,
41:55.5,405,49,830,-109,425,50,404,49
41:55.6,,,,,,,,
41:56.0,405,49,831,-109,425,50,404,49
41:56.1,,,,,,,,
41:56.6,405,49,832,-109,424,51,405,49
41:56.6,,,,,,,,
41:57.1,405,49,832,-109,425,50,404,49
41:57.1,,,,,,,,
41:57.6,405,49,832,-109,425,50,405,49
41:57.6,,,,,,,,
41:58.1,405,49,832,-109,425,50,405,49
41:58.1,,,,,,,,
41:58.6,405,49,831,-109,425,50,405,49
41:58.6,,,,,,,,
41:59.1,405,49,831,-109,425,50,405,49
41:59.1,,,,,,,,
41:59.6,406,49,832,-109,425,50,405,49
41:59.6,,,,,,,,
42:00.1,405,49,832,-109,425,50,405,49
42:00.1,,,,,,,,
42:00.6,406,49,833,-109,425,50,405,49
42:00.6,,,,,,,,
42:01.1,406,49,833,-109,425,50,406,48
42:01.1,,,,,,,,
42:01.6,406,49,833,-109,425,50,406,48
42:01.6,,,,,,,,
42:02.1,406,49,832,-109,425,50,406,48
42:02.1,,,,,,,,
42:02.6,406,49,832,-109,425,50,406,48
42:02.6,,,,,,,,
42:03.1,406,49,832,-109,426,50,406,48
42:03.1,,,,,,,,
42:03.6,406,49,833,-109,426,50,406,48
42:03.6,,,,,,,,
42:04.1,406,49,833,-109,425,50,406,48
42:04.1,,,,,,,,
42:04.6,406,49,834,-109,425,50,407,47
42:04.6,,,,,,,,
42:05.1,406,49,831,-109,425,50,406,48
42:05.1,,,,,,,,
42:05.6,407,48,832,-109,426,50,407,47
42:05.6,,,,,,,,
42:06.1,407,48,832,-109,426,50,407,47
42:06.1,,,,,,,,
42:06.6,407,48,832,-109,426,50,407,47
42:06.6,,,,,,,,
42:07.1,407,48,832,-109,426,50,407,47
42:07.2,,,,,,,,
42:07.6,407,48,832,-109,425,50,407,47
42:07.7,,,,,,,,
42:08.1,407,48,832,-109,426,50,407,47
42:08.2,,,,,,,,
42:08.6,407,48,832,-109,425,50,407,47
42:08.7,,,,,,,,
42:09.1,406,49,832,-109,426,50,408,47
42:09.2,,,,,,,,
42:09.6,407,48,831,-109,426,50,407,47
42:09.7,,,,,,,,
42:10.1,408,48,831,-109,425,50,407,47
42:10.2,,,,,,,,
42:10.6,407,48,832,-109,426,50,407,47
42:10.7,,,,,,,,
42:11.1,408,48,833,-109,425,50,406,48
42:11.2,,,,,,,,
42:11.6,408,48,834,-109,426,50,406,48
42:11.7,,,,,,,,
42:12.1,408,48,833,-109,425,50,406,48
42:12.2,,,,,,,,
42:12.6,407,48,833,-109,426,50,404,49
42:12.7,,,,,,,,
42:13.1,408,48,832,-109,426,50,402,50
42:13.2,,,,,,,,